group_no,sentence,category
2,"लोग घबराए क्‍योंकि करोड़ों रुपए की शराब खराब होने का डर था  ।
",baal sahitya
2,"रात और दिन हुए बराबर रहते दिन भर घर में बंद  ।
",baal sahitya
2,"पर्वत कहता शीश उठाकर  ,  तुम भी ऊँचे बन जाओ  ,  सागर कहता है लहराकर  ,  मन में गहराई लाओ  ।
",baal sahitya
2,"पानी  महाराज ये लोग पहले की तरह पानी की रखवाली नहीं करते हैं  ।
",baal sahitya
2,"ऐसी मोटरगाड़ी जो बस चाभी भरते दौड़ लगाए  ,  तेल पिए न बिजली खाए  ,  शोर करे न धुआँ उड़ाए  ।
",baal sahitya
2,"ऐसा लगता कि वह मेरा नन्हा मन पढ़ लेतीं  ,  बिन माँगे ही इमली वाली टॉफी मुझको देतीं  ।
",baal sahitya
2,"चींचीं करते शोर मचाते  ,  इधर उधर पल में उड़ जाते  ।
",baal sahitya
2,"हम तीनों ने भर पेट रस पिया और बचा-खुचा रस जेबों में डाल कर चल पड़े  ।
",baal sahitya
2,"फिर उनके घर की हालत न बारिश कर पाती बदतर  ।
",baal sahitya
2,"लड़के की चिल्‍लाहट की ओर उन लोगों ने ध्‍यान नहीं दिया  ।
",baal sahitya
2,"धरती कहती धैर्य न छोड़ो कितना ही हो सिर पर भार  ,  नभ कहता है फैलो इतना ढक लो तुम सारा संसार  ।
",baal sahitya
2,"उत्तम घास के चारे से पशुओं को प्राय: वे सभी पोषक तत्व मिल जाते हैं जो शरीर निर्वाह के लिये आवश्यक हैं  ।
",wikipedia
2,"दोनों तरु के चिमटों की भुजाएँ भी उनकी मध्य रेखा से सममित तथा समांतर होनी चाहिए  ।
",wikipedia
2,"नास्तिकों का कहना यह है कि ईश्वर में विश्वास करने की आवश्यकता ही नहीं पड़ती  ।
",wikipedia
2,"चित्त आलंबन के आकार में प्रतिभासित होता है ,  अपना स्वरूप शून्यवत्‌ हो जाता है और एकमात्र आलंबन ही प्रकाशित होता है  ।
",wikipedia
2,"दूसरे शब्दों में ,  जो पुरूष धर्म का नाश करता है ,  उसी का नाश धर्म कर देता है  ।
",wikipedia
2,"इस शाखा में पर्यटन एवं यात्राओं से सम्बन्धित तत्वों का अध्ययन होता है  ।
",wikipedia
2,"मनुष्य केवल भौतिक परिस्थितियों में सुधार करके ही सन्तुष्ट नहीं हो जाता  ।
",wikipedia
2,"यह प्रणाली विशेषकर उन क्षेत्रों में महत्वपूर्ण है ,  जहां 30-40 मिलियन पेस्टोरालिस्ट का प्रतिनिधित्व करने वाले ,  जलवायु या मिट्टी के कारण फसल उत्पादन संभव नहीं है  ।
",wikipedia
2,"अत: संभवत: मानव समाज के प्रारंभ में या तो पूरा समुदाय या फिर पति पत्नी तथा बच्चों का समूह ही परिवार था  ।
",wikipedia
2,"ये अस्पष्ट है कि इनमें से कौन सी प्रणाली पुरानी है ,  लेकिन दोनों में कुछ निश्चित समानताएं ज़रूर हैं  ।
",wikipedia
2,"दूसरी ओर अन्य विज्ञानों से प्राप्त जिस ज्ञान का उपयोग भूगोल करता है ,  उसमें अनेक व्युत्पत्तिक धारणाएँ एवं निर्धारित वर्गीकरण होते हैं  ।
",wikipedia
2,"सामाजिक क्रिया के अंतर्गत उठाया गया कोई भी कदम मानवीय और व्यावसायिक मूल्यों पर आधारित होता है  ।
",wikipedia
2,"आधुनिक अपराध अन्वेषण में न्यायालयिक विज्ञान नामक वैज्ञानिक तकनीक का प्रायः उपयोग किया जाता है  ।
",wikipedia
2,"अंग्रेजी में आकाशगंगा को मिल्की वे बुलाया जाता है  ।
",wikipedia
2,"इसी 13वीं शताब्दी में महाद्वीपीय यूरोप के प्रभाव से इंग्लैंड में भी ऑक्सफोर्ड और कैंब्रिज विश्वविद्यालय स्थापित हो चुके थे  ।
",wikipedia
2,"रामेन्द्र को भी तुरन्त मालूम हो गया कि उनकी जबान से एक ऐसी बात निकल गई जिसके दो अर्थ हो सकते हैं  ।
",old stories
2,"वह तो देहात में पड़ी हुई आशंकाओं की कठपुतली बनी हुई थी  ।
",old stories
2,"आबादी  आप मुझसे भी जमींदारी चालें चलते हैं क्यों मगर यहाँ हुजूर की दाल न गलेगी  ।
",old stories
2,"कोई गजलें गाता कोई छाती पर हाथ रखता पर मुलिया नीची आँख किये अपनी राह चली जाती  ।
",old stories
2,"गाय झल्लायी हुई तो थी ही कुछ भी न डरी  ।
",old stories
2,"इसी भय से उसने बाजार में खूब देर की थी  ।
",old stories
2,"रुक्मिन ने पूरा रुपया ला कर पयाग के हाथ पर रख दिया  ।
",old stories
2,"इसमें संदेह नहीं कि उनके सिद्धान्तों से लोगों को एक प्रकार की दार्शनिक सहानुभूति थी पर उनके क्रियात्मक होने के विषय में उन्हें बड़ी शंका थी  ।
",old stories
2,"विद्याधरी प्रबल आवेश से व्याकुल हो कर उठी कि द्वार पर जाकर पति का स्वागत करे किंतु निर्बलता ने मन की अभिलाषा न निकलने दी  ।
",old stories
2,"एक एक अंग साँचे में ढला हुआ सिंह कीसी छाती चीते कीसी कमर उसका यह प्रेम और स्वामिभक्ति देखकर लोगों को बड़ा कुतूहल हुआ  ।
",old stories
2,"यद्यपि मुंशी जी को अब तक इनसे टेढ़ी तिरछी सुनने का संयोग न पड़ा था तथापि उनका मन कहता था कि सच्ची बात किसी से छिपी नहीं है  ।
",old stories
2,"दैव से इतना भी न देखा गया इन यमदूतों को भेज दिया  ।
",old stories
2,"सरकार को हाल के महासंग्राम में इसका बहुत ही खेदजनक अनुभव हो चुका है  ।
",old stories
2,"यह कहकर चपरासी उसका हाथ पकड़ कर घसीटता हुआ चला  ।
",old stories
2,"‘सत्त गुरुदत्त शिवदत्त दाता’ का मंत्र जपता हुआ धीरेधीरे तोते के समीप आया और लपका कि तोते को पकड़ ले किन्तु तोता हाथ न आया फिर पेड़ पर जा बैठा  ।
",old stories
2,"और तो और अंदर वाले कमरे में तैयार हो रही लड़की को भी देख आया था  ।
",novels
2,"और कोई दिन होता तो वह उनकी छाती पर चढ़कर मुंह में दारू की बोतल उड़ेल देता किंतु आज इसका वक्त नहीं था ।
",novels
2,"बाहर कोई बम फटा है गोलियाँ भी चली हैं  ।
",novels
2,"दोतीन बार तो गिरफ्तारी वारंट के बावजूद फरारी के कारण घर की कुर्की जब्ती तक हो गई  ।
",novels
2,"और परमेशर सिंह ने उसे गोद में बिठा लिया  ।
",novels
2,"कभी किसी दवा को पीसकर माथे पर लेप लगाता तो कभी वैद्य जी की बताई विधि से तलुवों पर काली मिट्टी का लेप या फिर हथेली पर कड़ुवा तेल मलता  ।
",novels
2,"फिर जुम्मे की नमाज क्या ईद और बकरीद की नमाज भी हम अपनी मस्जिद में अदा कर सकेंगे  ।
",novels
2,"खुशकिस्मत हो दूसरी ने ओंठ चबा कर कहा था तो वह पसीना पसीना हो गई थी  ।
",novels
2,"माँ को देखते ही देसी अफसरों की कुछ स्त्रियाँ हँस दीं कि इतने में चीफ ने धीरे से कहा  पुअर डियर माँ हड़बड़ा के उठ बैठीं  ।
",novels
2,"सुदर्शन लाल की दोनों आँखों से आँसू टपक पड़े  ।
",novels
2,"नहीं आप गलत समझे सल्तनत नमक खाने के खिलाफ नहीं है वह तो बस इतना चाहती है कि लोग सल्तनत का नमक खाएँ और सल्तनत के प्रति वफादार रहें  ।
",novels
2,"गाँव आ जाओ खेत इतना तो देते ही हैं कि कोई भूखा न रहे  ।
",novels
2,"मै बस यहाँ की यूनिवर्सिटी में जा सक्ती हूँ  ।
",novels
2,"जिसका लब्बोलुआब यही था कि वे गरीबों के बारे में सोचते हैं क्योंकि वे आदिवासियों के बीच उनकी पोशाकें पहन कर नाचते हैं और आम सभाओं में बराबर उनका जीवनस्तर उठाने की बात करते हैं  ।
",novels
2,"नीरजा ने ताली बजाते हुए कहा तो फिर मुझे यह स्‍वीकार है अब आगे पढिए  ।
",novels
2,"जिन लोगों को अपने धर्म की बातें याद थीं उन्होंने यहूदी परंपराओं का पालन करना जारी रखा ।
",news
2,"धर्म रक्षा समिति के बैनर तले छत्रीपुरा थाने का घेराव करने पहुंचे लोगों ने उदापुरा में खेमचंद माखीजा की मौत के साथ ही रविदासपुरा सहित अन्य इलाकों में हुई घटनाओं में लिप्त लोगों के खिलाफ नामदज प्रकरण दर्ज करने की मांग की  ।
",news
2,"सूनी आँखों से ऊपर की ओर देखता रहता है  ।
",news
2,"सीपीसी के आमंत्रण पर यहां पहुंचीं सोनिया के साथ उनके बेटे और कांग्रेस महासचिव राहुल गांधी  विदेश राज्य मंत्री आनंद शर्मा  प्रधानमंत्री कार्यालय में राज्य मंत्री पृथ्वीराज चौहान और वरिष्ठ कांग्रेस नेता कर्ण सिंह भी आए हैं  ।
",news
2,"जुलाई 2016 में नेपाली कांग्रेस और प्रचंड की पार्टी ने अविश्वास प्रस्ताव के ज़रिए ओली की नौ महीने पुरानी सरकार गिरा दी प्रचंड प्रधानमंत्री बने और सितम्बर में भारत सरकार का आतिथ्य स्वीकार किया ।
",news
2,"एडवर्ड जीवित रहा लेकिन उसका स्वास्थ्य खराब ही रहा और शेरॉन को अकसर उसका खास धयान रखना पड़ा ।
",news
2,"और यहीं फिल्म निर्माताओं के काम आते हैं डबिंग आर्टिस्ट ।
",news
